House Vote #11 2021-01-07T03:08:00 - On Agreeing to the Objection [Electoral College Votes from Pennsylvania],,,,,
person,state,district,vote,name,party
456843,SC,1,Nay,Rep. Nancy Mace [R],Republican
456844,TN,1,Yea,Rep. Diana Harshbarger [R],Republican
456845,TX,4,Yea,Rep. Patrick Fallon [R],Republican
456846,TX,11,Yea,Rep. August Pfluger II [R],Republican
456847,TX,13,Yea,Rep. Ronny Jackson [R],Republican
456848,TX,22,Yea,Rep. Troy Nehls [R],Republican
456849,TX,23,Nay,Rep. Ernest Gonzales II [R],Republican
456850,TX,24,Yea,Rep. Beth Van Duyne [R],Republican
456851,UT,1,Nay,Rep. Blake Moore [R],Republican
456852,UT,4,Yea,Rep. Clarence Owens [R],Republican
456853,VA,5,Yea,Rep. Robert Good [R],Republican
456854,WA,10,Nay,Rep. Marilyn Strickland [D],Democrat
456855,WI,5,Yea,Rep. Scott Fitzgerald [R],Republican
